product_name,Category,link,major_category_name,sub_category_link,major_category_id,sub_category_id
CAR SAFETY & SECURITY,"TIRE PRESSURE GAUGES, INFLATORS & COMPRESSORS",https://www.canadiantire.ca/en/automotive/tires-wheels/tire-wheel-accessories/tire-pressure-gauges-inflators-compressors.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,PET CAR SAFETY,https://www.canadiantire.ca/en/automotive/car-safety-security/pet-car-safety.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,WINDSHIELD WASHER FLUIDS,https://www.canadiantire.ca/en/automotive/oils-fluids-additives-chemicals/windshield-washer-fluids-additives.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,SAFETY KITS & ACCESSORIES,https://www.canadiantire.ca/en/automotive/car-safety-security/safety-kits-accessories.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,BLIND SPOT MIRRORS,https://www.canadiantire.ca/en/automotive/car-safety-security/blind-spot-mirrors.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,BOOSTER CABLES,https://www.canadiantire.ca/en/automotive/batteries-maintenance-accessories/booster-cables.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,CAR SECURITY LOCKS,https://www.canadiantire.ca/en/automotive/car-safety-security/car-security-locks.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,BLOCK HEATER EXTENSION CORDS,https://www.canadiantire.ca/en/automotive/car-safety-security/block-heater-extension-cords.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,HORNS,https://www.canadiantire.ca/en/automotive/car-safety-security/horns.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,DRIVEWAY MARKERS,https://www.canadiantire.ca/en/automotive/car-safety-security/driveway-markers.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,SNOW BRUSHES & SCRAPERS,https://www.canadiantire.ca/en/outdoor-living/snow-removal/snow-brushes-scrapers.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,TRACTION AIDS,https://www.canadiantire.ca/en/automotive/tires-wheels/tire-wheel-accessories/traction-aids.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,TIRE CHAINS,https://www.canadiantire.ca/en/automotive/tires-wheels/tire-wheel-accessories/tire-chains.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
CAR SAFETY & SECURITY,CAR WARMERS,https://www.canadiantire.ca/en/automotive/car-safety-security/car-warmers.html?,automotive,https://www.canadiantire.ca/en/automotive/car-safety-security.html,0.0,
INTERIOR_ACC,SEAT COVERS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/seat-covers.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,CAR SAFETY AND SECURITY,https://www.canadiantire.ca/en/automotive/car-safety-security.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,FLOOR MATS AND LINERS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/car-mats.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,INTERIOR CAR ORGANIZERS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/interior-car-organizers.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,SMALL ACCESSORIES,https://www.canadiantire.ca/en/automotive/interior-car-accessories/small-accessories.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,AIR FRESHENERS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/air-fresheners.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,SEAT CUSHIONS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/seat-cushions.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,CAR WINDOW SHADES AND VISORS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/car-window-shades-visors.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,CAR WINDOW TINT,https://www.canadiantire.ca/en/automotive/interior-car-accessories/car-window-tint.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,STEERING WHEEL COVERS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/steering-wheel-covers.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,KEY CHAINS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/keychains.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
INTERIOR_ACC,INTERIOR CAR MIRRORS,https://www.canadiantire.ca/en/automotive/interior-car-accessories/interior-car-mirrors.html?,automotive,https://www.canadiantire.ca/en/automotive/interior-car-accessories.html,0.0,
LOAN-A-TOOL,GENERAL SERVICE PULLERS,https://www.canadiantire.ca/en/automotive/loan-a-tool/general-service-pullers.html?,automotive,https://www.canadiantire.ca/en/automotive/loan-a-tool.html,0.0,
LOAN-A-TOOL,GENERAL SERVICE TOOLS,https://www.canadiantire.ca/en/automotive/loan-a-tool/general-service-tools.html?,automotive,https://www.canadiantire.ca/en/automotive/loan-a-tool.html,0.0,
LOAN-A-TOOL,ENGINE & DRIVETRAIN TOOLS,https://www.canadiantire.ca/en/automotive/loan-a-tool/engine-drivetrain-tools.html?,automotive,https://www.canadiantire.ca/en/automotive/loan-a-tool.html,0.0,
LOAN-A-TOOL,STEERING & SUSPENSION TOOLS,https://www.canadiantire.ca/en/automotive/loan-a-tool/steering-suspension-tools.html?,automotive,https://www.canadiantire.ca/en/automotive/loan-a-tool.html,0.0,
LOAN-A-TOOL,A/C & BRAKE TOOLS,https://www.canadiantire.ca/en/automotive/loan-a-tool/ac-brake-tools.html?,automotive,https://www.canadiantire.ca/en/automotive/loan-a-tool.html,0.0,
LOAN-A-TOOL,FUEL IGNITION TOOLS,https://www.canadiantire.ca/en/automotive/loan-a-tool/fuel-ignition-tools.html?,automotive,https://www.canadiantire.ca/en/automotive/loan-a-tool.html,0.0,
PRESSURE_WASHERS,ELECTRIC GAS & GAS PRESSURE WASHERS,https://www.canadiantire.ca/en/automotive/pressure-washers-parts-accessories/electric-gas-pressure-washers.html?,automotive,https://www.canadiantire.ca/en/automotive/pressure-washers-parts-accessories.html,0.0,
PRESSURE_WASHERS,PRESSURE WASHER PARTS & ACCESSORIES,https://www.canadiantire.ca/en/automotive/pressure-washers-parts-accessories/pressure-washer-parts-accessories.html?,automotive,https://www.canadiantire.ca/en/automotive/pressure-washers-parts-accessories.html,0.0,
PRESSURE_WASHERS,PRESSURE WASHER DETERGENTS,https://www.canadiantire.ca/en/automotive/pressure-washers-parts-accessories/pressure-washer-detergents.html?,automotive,https://www.canadiantire.ca/en/automotive/pressure-washers-parts-accessories.html,0.0,
REPAIR MANUALS,REPAIR MANUALS,https://www.canadiantire.ca/en/automotive/repair-manuals.html?,automotive,https://www.canadiantire.ca/en/automotive/repair-manuals.html,0.0,
RV_PARTS,"BIKE RACKS, HITCHES & CARRIERS FOR CARS",https://www.canadiantire.ca/en/sports-rec/bikes-accessories/bike-racks-carriers.html?,automotive,https://www.canadiantire.ca/en/automotive/rv-parts-accessories.html,0.0,
RV_PARTS,RV PLUMBING & SANITATION,https://www.canadiantire.ca/en/automotive/rv-parts-accessories/rv-plumbing-sanitation.html?,automotive,https://www.canadiantire.ca/en/automotive/rv-parts-accessories.html,0.0,
RV_PARTS,RV INTERIOR,https://www.canadiantire.ca/en/automotive/rv-parts-accessories/rv-interior.html?,automotive,https://www.canadiantire.ca/en/automotive/rv-parts-accessories.html,0.0,
RV_PARTS,RV FRESH WATER ACCESSORIES,https://www.canadiantire.ca/en/automotive/rv-parts-accessories/rv-fresh-water-accessories.html?,automotive,https://www.canadiantire.ca/en/automotive/rv-parts-accessories.html,0.0,
RV_PARTS,RV REPLACEMENT PARTS & MAINTENANCE,https://www.canadiantire.ca/en/automotive/rv-parts-accessories/rv-replacement-parts-maintenance.html?,automotive,https://www.canadiantire.ca/en/automotive/rv-parts-accessories.html,0.0,
RV_PARTS,RV EXTERIOR,https://www.canadiantire.ca/en/automotive/rv-parts-accessories/rv-exterior-accessories.html?,automotive,https://www.canadiantire.ca/en/automotive/rv-parts-accessories.html,0.0,
RV_PARTS,RV LEVELS & STABILIZATION,https://www.canadiantire.ca/en/automotive/rv-parts-accessories/rv-levels-stabilization.html?,automotive,https://www.canadiantire.ca/en/automotive/rv-parts-accessories.html,0.0,
RV_PARTS,RV COVERS,https://www.canadiantire.ca/en/automotive/rv-parts-accessories/rv-covers.html?,automotive,https://www.canadiantire.ca/en/automotive/rv-parts-accessories.html,0.0,
