product_name,product_link_name,link,major_category_name,major_category_link
GLOVES & PROTECTIVE GEAR,GLOVES & PROTECTIVE GEAR,https://www.canadiantire.ca/en/sports-rec/bikes-accessories/bike-helmets-safety-gear/bike-gloves.html?adlocation=LIT_Category_Product_BikeGlovesCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"BIKE GRIPS, PEGS & PEDALS","BIKE GRIPS, PEGS & PEDALS",https://www.canadiantire.ca/en/sports-rec/bikes-accessories/bike-parts-components/grips-pegs-pedals.html?adlocation=LIT_Category_Product_GripsPegsPedalsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TENTS,TENTS,https://www.canadiantire.ca/en/sports-rec/camping/tents-shelters/tents.html?adlocation=LIT_Category_Product_TentsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
SCREEN HOUSES,SCREEN HOUSES,https://www.canadiantire.ca/en/sports-rec/camping/tents-shelters/screen-houses.html?adlocation=CT_2018_Tents-Shelters_LIT_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"POP-UP TENTS, SHELTERS & CANOPIES","POP-UP TENTS, SHELTERS & CANOPIES",https://www.canadiantire.ca/en/sports-rec/camping/tents-shelters/pop-up-shelters-canopies.html?adlocation=LITs_Camping_2018_Shelters_LIT_2_WOODS_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
AIR MATTRESSES,AIR MATTRESSES,https://www.canadiantire.ca/en/sports-rec/camping/air-mattresses-camp-bedding/air-mattresses.html?adlocation=LIT_Category_Product_AirMattressCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
AIR MATTRESS PUMPS,AIR MATTRESS PUMPS,https://www.canadiantire.ca/en/sports-rec/camping/air-mattresses-camp-bedding/air-mattress-pumps.html?adlocation=LIT_Category_Product_AirMattressPumpsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CAMPING COTS,CAMPING COTS,https://www.canadiantire.ca/en/sports-rec/camping/air-mattresses-camp-bedding/cots.html?adlocation=LIT_Category_Product_CotsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
SLEEPING PADS & MATS,SLEEPING PADS & MATS,https://www.canadiantire.ca/en/sports-rec/camping/air-mattresses-camp-bedding/sleeping-pads-mats.html?adlocation=LIT_Category_Product_SleepingPadsMatsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
SLEEPING BAGS,SLEEPING BAGS,https://www.canadiantire.ca/en/sports-rec/camping/sleeping-bags.html?adlocation=LIT_Category_Product_SleepingBagsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"CAMP KITCHENS, STOVES & BURNERS","CAMP KITCHENS, STOVES & BURNERS",https://www.canadiantire.ca/en/sports-rec/camping/stoves-cooking/kitchens-stoves-burners.html?adlocation=LIT_Category_Product_StovesBurnersCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
HARD COOLERS & WATER JUGS,HARD COOLERS & WATER JUGS,https://www.canadiantire.ca/en/outdoor-living/dining-entertaining/coolers-ice-packs/hard-coolers.html?adlocation=LIT_Category_Product_CoolersCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
COOLER BAGS & SOFT COOLERS,COOLER BAGS & SOFT COOLERS,https://www.canadiantire.ca/en/outdoor-living/dining-entertaining/coolers-ice-packs/soft-coolers.html?adlocation=LIT_Category_Product_CoolersCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
ELECTRIC COOLERS & WARMERS,ELECTRIC COOLERS & WARMERS,https://www.canadiantire.ca/en/outdoor-living/dining-entertaining/coolers-ice-packs/powered-coolers.html?adlocation=LIT_Category_Product_CoolersCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CAMPING CHAIRS,CAMPING CHAIRS,https://www.canadiantire.ca/en/sports-rec/camping/furniture/chairs.html?adlocation=LIT_Category_Product_ChairsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
PICNIC & CAMPING TABLES,PICNIC & CAMPING TABLES,https://www.canadiantire.ca/en/sports-rec/camping/furniture/tables.html?adlocation=LIT_Category_Product_CampTablesCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
HAMMOCKS,HAMMOCKS,https://www.canadiantire.ca/en/sports-rec/camping/furniture/hammocks.html?adlocation=LIT_Category_Product_AirBedsSleepingAccessoriesCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
FOLDING WAGONS,FOLDING WAGONS,https://www.canadiantire.ca/en/sports-rec/camping/furniture/folding-wagons.html?adlocation=LIT_Category_Product_FoldingWagonsCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"CAMPING TOILETS, PORTABLE SHOWERS, & WASHROOM ACCESSORIES","CAMPING TOILETS, PORTABLE SHOWERS, & WASHROOM ACCESSORIES",https://www.canadiantire.ca/en/sports-rec/camping/camping-accessories/portable-showers-toilets-accessories.html?adlocation=LIT_Category_Product_ShowersToiletsAccessoriesCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
BINOCULARS & TELESCOPES,BINOCULARS & TELESCOPES,https://www.canadiantire.ca/en/sports-rec/camping/camping-accessories/binoculars-telescopes.html?adlocation=LIT_Category_Product_BinocularsTelescopesCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
COMPASSES,COMPASSES,https://www.canadiantire.ca/en/sports-rec/camping/electronics/compasses.html?adlocation=LIT_Category_Product_CompassesCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
WATER SHOES & SWIM SHOES,WATER SHOES & SWIM SHOES,https://www.canadiantire.ca/en/sports-rec/boating-water-sports/wetsuits-water-shoes/water-shoes.html?adlocation=LIT_SEO_PicnicGear_WaterShoes_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"HIKING BOOTS, SHOES & THERMAL SOCKS","HIKING BOOTS, SHOES & THERMAL SOCKS",https://www.canadiantire.ca/en/sports-rec/camping/hiking-footwear-accessories.html?adlocation=HTML_LIT_HikingFootwearAccessories_CampingDLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CAMPING & HIKING BAGS,CAMPING & HIKING BAGS,https://www.canadiantire.ca/en/household-pets/luggage-travel-accessories/backpacks/camping-hiking-backpacks.html?adlocation=HTML_LIT_CampingHikingBackpacks_CampingDLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
GPS WATCHES,GPS WATCHES,https://www.canadiantire.ca/en/sports-rec/camping/electronics/gps-watches.html?adlocation=LIT_Category_Product_GPSWatchesCat_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
HUNTING KNIVES & TOOLS,HUNTING KNIVES & TOOLS,https://www.canadiantire.ca/en/sports-rec/hunting/knives-tools.html?adlocation=HTML_LIT_KnivesTools_CampingDLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
WALKING STICKS,WALKING STICKS,https://www.canadiantire.ca/en/sports-rec/camping/trekking-poles-hiking-sticks.html?adlocation=HTML_LIT_TrekkingPolesHikingSticks_CampingDLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
