product_name,product_link_name,link,major_category_name,major_category_link
PEDESTAL FANS: OSCILLATING & STANDING,PEDESTAL FANS: OSCILLATING & STANDING,https://www.canadiantire.ca/en/heating-cooling/electric-fans/pedestal-fans.html?adlocation=LIT_HeatingCooling_ElectricFans_PedistalFans_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TOWER FANS: OSCILLATING & COOLING,TOWER FANS: OSCILLATING & COOLING,https://www.canadiantire.ca/en/heating-cooling/electric-fans/tower-fans.html?adlocation=LIT_HeatingCooling_ElectricFans_TowerFans_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
"DESK & TABLE FANS: SMALL, PORTABLE & USB POWERED","DESK & TABLE FANS: SMALL, PORTABLE & USB POWERED",https://www.canadiantire.ca/en/heating-cooling/electric-fans/desk-fans.html?adlocation=LIT_HeatingCooling_ElectricFans_DeskFans_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
FLOOR FANS: BOX & FLOOR,FLOOR FANS: BOX & FLOOR,https://www.canadiantire.ca/en/heating-cooling/electric-fans/floor-fans.html?adlocation=LIT_HeatingCooling_ElectricFans_FloorFans_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
PORTABLE AIR CONDITIONERS,PORTABLE AIR CONDITIONERS,https://www.canadiantire.ca/en/heating-cooling/air-conditioners/portable.html?adlocation=LIT_PortableAirConditioners_HeatingCoolingDLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
WINDOW AIR CONDITIONERS,WINDOW AIR CONDITIONERS,https://www.canadiantire.ca/en/heating-cooling/air-conditioners/window-air-conditioners.html?adlocation=LIT_WindowAirConditioners_HeatingCoolingDLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CEILING FANS & ACCESSORIES,CEILING FANS & ACCESSORIES,https://www.canadiantire.ca/en/lighting/ceiling-fans-accessories.html?adlocation=HeatCooling_CeilingFans_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
AIR PURIFIERS,AIR PURIFIERS,https://www.canadiantire.ca/en/heating-cooling/air-purifiers-filters/air-purifiers.html?adlocation=LIT_Category_AirPurifiers_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
HUMIDIFIERS & ACCESSORIES,HUMIDIFIERS & ACCESSORIES,https://www.canadiantire.ca/en/heating-cooling/humidifiers-accessories.html?adlocation=HeatCooling_Fireplaces_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
THERMOSTATS,THERMOSTATS,https://www.canadiantire.ca/en/heating-cooling/thermostats.html?adlocation=HeatCooling_Thermostats_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
WEATHERSTRIPPING,WEATHERSTRIPPING,https://www.canadiantire.ca/en/heating-cooling/weatherstripping.html?adlocation=HeatCooling_Weatherstripping_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
HAIR TRIMMERS & CLIPPERS,HAIR TRIMMERS & CLIPPERS,https://www.canadiantire.ca/en/household-pets/personal-care/hair-trimmers.html?adlocation=LIT_HairTrimmers_PersonalCareCLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
HAIR DRYERS & HAIR STYLING TOOLS,HAIR DRYERS & HAIR STYLING TOOLS,https://www.canadiantire.ca/en/household-pets/personal-care/hair-dryers.html?adlocation=LIT_HairDryer_PersonalCareCLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
BLOOD PRESSURE MONITORS,BLOOD PRESSURE MONITORS,https://www.canadiantire.ca/en/household-pets/personal-care/health-care-accessibility/blood-pressure-monitors.html?adlocation=LIT_BloodPressureMonitors_PersonalCareCLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
ELECTRIC TOOTHBRUSHES AND FLOSSERS,ELECTRIC TOOTHBRUSHES AND FLOSSERS,https://www.canadiantire.ca/en/household-pets/personal-care/oral-care.html?adlocation=LIT_OralCare_PersonalCareCLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TOILET PAPER,TOILET PAPER,https://www.canadiantire.ca/en/household-pets/personal-care/bathroom-tissue.html?adlocation=LIT_ToiletPaper_PersonalCareCLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
DOG BEDS,DOG BEDS,https://www.canadiantire.ca/en/household-pets/pet-care/dog-supplies/beds.html?adlocation=LIT_DogsBeds_PetCareCLP_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TELEVISIONS,TELEVISIONS,https://www.canadiantire.ca/en/household-pets/home-electronics/televisions.html?adlocation=LIT_Televisions_HomeElectronics_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TV STANDS,TV STANDS,https://www.canadiantire.ca/en/household-pets/home-electronics/tv-stands-wall-mounts/tv-stands.html?adlocation=LIT_TVStands_HomeElectronics_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
TV WALL MOUNTS,TV WALL MOUNTS,https://www.canadiantire.ca/en/household-pets/home-electronics/tv-stands-wall-mounts/wall-mounts.html?adlocation=LIT_TVwallMounts_HomeElectronics_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
PORTABLE AUDIO AND SPEAKERS,PORTABLE AUDIO AND SPEAKERS,https://www.canadiantire.ca/en/household-pets/home-electronics/portable-players-accessories/portable-audio-speakers.html?adlocation=LIT_PortableSpeakers_HomeElectronics_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
HEADPHONES & EAR BUDS,HEADPHONES & EAR BUDS,https://www.canadiantire.ca/en/household-pets/home-electronics/headphones-ear-buds.html?adlocation=LIT_HeadphonesEarbuds_HomeElectronics_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
CLOCK RADIOS,CLOCK RADIOS,https://www.canadiantire.ca/en/household-pets/home-electronics/clock-radios.html?adlocation=LIT_ClockRadios_HomeElectronics_en,HOME & PETS,https://www.canadiantire.ca/en/household-pets.html?adlocation=LOL_HomePetsDLP_MeganavHeader_en
